FACILITY_STATE,waste_water
AL,686.3214885
AK,69.74488816
AZ,563.5687262
AR,292.3937529
CA,4716.181913
CO,634.182624
CT,369.7953685
DE,69.78849386
FL,1809.395071
GA,933.8312561
HI,130.787528
ID,228.8420071
IL,1362.130202
IN,570.5804032
IA,298.6229339
KS,163.0025281
KY,526.5853674
LA,281.8535508
ME,80.21136614
MD,706.1493166
MA,595.3043092
MI,959.3296938
MN,423.3982616
MS,304.2153042
MO,672.3700555
MT,77.72857155
NE,170.8332625
NV,371.9543106
NH,79.59704966
NJ,938.4088143
NM,124.3999091
NY,2099.119575
NC,746.905061
ND,49.52317547
OH,1143.186116
OK,540.0706121
OR,446.0668194
PA,1313.80823
RI,93.83939342
SC,508.483088
SD,100.4562406
TN,827.7583854
TX,2649.138799
UT,449.976239
VT,37.72487454
VA,594.4901174
WA,791.8466277
WV,166.6362487
WI,391.2892402
WY,58.09173057
