Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,12701,,,2523,1052,20,101,1,128,2,10031,Australia,Oxide
United Kingdom,2735,,,,,,16240,,13700,5675,6810,Australia,Oxide
New Zealand,7,36,9,1,5,158,31,4,53,87,33,Australia,Oxide
Ghana,,,,,,,,9,,3,4,Australia,Oxide
Philippines,,,,,,,,,,,2,Australia,Oxide
Korea (Rep. of),,100,,500,,2,100,101,,,1,Australia,Oxide
China (People's Republic of),252,1000,1850,,,,,,,,1,Australia,Oxide
South Africa,350,300,,,,,,7,,,,Australia,Oxide
Tanzania (United Rep. of),,,,,,,,3,324,,,Australia,Oxide
Taiwan,50,,2,2,,,13,,,,,Australia,Oxide
Thailand,7,12,12,74,9,,,5,,,,Australia,Oxide
Singapore,,,,,16172,128,100,200,160,320,,Australia,Oxide
Saudi Arabia,,136000,,,,,,,,,,Australia,Oxide
Russian Federation,,,,,,,,,,,,Australia,Oxide
Romania,,,,,,,,,,,,Australia,Oxide
Norway,,,,,,,,,550,,,Australia,Oxide
Netherlands,1000,3700,,,,,,,,,,Australia,Oxide
Malaysia,,,,,,,,330,12,,,Australia,Oxide
Mexico,,,,1,1,1,,,,,,Australia,Oxide
Morocco,,,,,,,,,,,,Australia,Oxide
Latvia,,,,,,,,,,,,Australia,Oxide
Japan,,1000,,,,,,,,,,Australia,Oxide
India,,,,,,,,,16890,280,,Australia,Oxide
Indonesia,,,,,,,3000,500,,,,Australia,Oxide
Guatemala,,,,,12,,,,,,,Australia,Oxide
France,,,1129,2250,3450,100,1001,1100,,720,,Australia,Oxide
Spain,1440,2760,,285,,,,,500,4,,Australia,Oxide
Germany,,,,108,6,125,,,,,,Australia,Oxide
Switzerland,,,,,,,,,1,,,Australia,Oxide
Canada,11,7,15,24,216,25,,,5,16,,Australia,Oxide
Belarus,,,,,,,,,,1,,Australia,Oxide
Brazil,,,,,,,,15,,,,Australia,Oxide
Bolivia,,,1,,,,,,,,,Australia,Oxide
Bahrain,,,,,,,,4,,,,Australia,Oxide
Belgium,,,,16000,,,,200,,,,Australia,Oxide
Australia,,,,,,5,,,,,,Australia,Oxide
Argentina,,,,,,,,,,,,Australia,Oxide
