Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Malaysia,4545,,5000,6200,3360,2134066,7438586,51542562,16674849,22938134,9487335,Australia,Metal
New Zealand,546,1462,1272,1729,302,57,64,304,268,7409,2,Australia,Metal
South Africa,4,,,,,,,,,,1,Australia,Metal
Tanzania (United Rep. of),,,,,29,175,251,,,,,Australia,Metal
Taiwan,,,990,780,,,,,,,,Australia,Metal
Turkey,,,,,2,2,,,,,,Australia,Metal
Sweden,,,,,,,,,,,,Australia,Metal
Saudi Arabia,,,,,,,,,1000,,,Australia,Metal
Qatar,,,800,,,,,,,,,Australia,Metal
Philippines,,2234,,139,,,,,,200,,Australia,Metal
Norway,,500,,,,,,,,,,Australia,Metal
Mexico,,,,,,,,,1,,,Australia,Metal
Korea (Rep. of),,,,,,,,,3,1,,Australia,Metal
Jordan,,,4,,,,,,,,,Australia,Metal
India,,10,,,47200,12050,12000,,,,,Australia,Metal
Indonesia,640722,3242967,1771552,2393403,2008970,1645040,1537776,1312810,120067,,,Australia,Metal
Hong Kong,,5,,,,,,2945,5257,22661,,Australia,Metal
Ghana,,,,,23,5,9,,7,,,Australia,Metal
United Kingdom,,,,720,,,64,,,,,Australia,Metal
Finland,2,,,,,,,,,,,Australia,Metal
Spain,34,,,,,13,,,1000,1003,,Australia,Metal
Denmark,,,,,,,,,25,,,Australia,Metal
Germany,,,,,,2,23,2,,,,Australia,Metal
China (People's Republic of),36,,,,,,,,,,,Australia,Metal
C?te d'Ivoire,,,,,676,1,,,,,,Australia,Metal
Canada,,,,,,,,,1122,,,Australia,Metal
Botswana,,,,,,,,,7,,,Australia,Metal
Belgium,,,100,,,,,,,,,Australia,Metal
Australia,,,17425,490,20,,,,,,,Australia,Metal
