Country,x2007 ,x2008 ,x2009 ,x2010 ,x2011 ,x2012,x2013 ,x2014,x2015 ,x2016,x2017,Exporter,Form
Slovenia,93200,50700,26100,71700,10000,32800,34900,35460,36935,55911,,Austria,Metal
Sweden,41400,31500,24800,36900,43900,41500,54500,45777,44321,32247,,Austria,Metal
Germany,201500,189281,44078,23262,,,56,531,2441,30176,,Austria,Metal
Russian Federation,,,,,1020,4203,590,350,1011,27673,,Austria,Metal
France,71418,10058,4225,2136,150,350,1317,850,1350,6679,,Austria,Metal
Canada,,,,10000,,100,,8,910,5276,,Austria,Metal
Spain,1500,1500,,,,,,2600,2000,4000,,Austria,Metal
United Kingdom,2076,1500,5153,8000,9500,1730,10517,17404,225,3491,,Austria,Metal
Belgium,2900,2200,2300,11100,26400,3200,4200,100,300,3400,,Austria,Metal
Turkey,,,,300,,1900,2664,4830,4941,2764,,Austria,Metal
Lithuania,,,,,,,,,,2642,,Austria,Metal
Italy,260,2751,7210,3561,5598,1745,6855,12075,16520,1510,,Austria,Metal
Poland,500,600,,300,,300,200,551,425,1000,,Austria,Metal
Portugal,200,400,,,,300,400,150,125,554,,Austria,Metal
South Africa,23208,43,46,56,664,,18,33,431,431,,Austria,Metal
United States,616,1566,227,3611,18373,11561,1430,13463,5100,426,,Austria,Metal
Netherlands,,100,100,,3000,1900,,90,93,55,,Austria,Metal
Japan,1200,1009,,1000,1050,90,200,90,115,30,,Austria,Metal
Hungary,,,,,,,,,,20,,Austria,Metal
Romania,,,,,,,100,,,8,,Austria,Metal
Australia,,21,,,,,,,,4,,Austria,Metal
Switzerland,,,1,,,10,1,,,2,,Austria,Metal
China (People's Republic of),,,,,,1600,,,111,1,,Austria,Metal
Ukraine,1,,,,,,,,100,,,Austria,Metal
Taiwan,,,,,,,200,,,,,Austria,Metal
Slovakia,,,,300,,,,6,7,,,Austria,Metal
Singapore,,,,,,,,,500,,,Austria,Metal
Norway,250,756,1747,,,5000,248,20000,40000,,,Austria,Metal
Korea (Rep. of),10,20,5,,3,76,,20,,,,Austria,Metal
Iceland,,,146,41900,,,,,,,,Austria,Metal
India,100,,,,,,500,,,,,Austria,Metal
Israel,,,,,,,,,,,,Austria,Metal
Finland,,,1000,,,,,,,,,Austria,Metal
Estonia,,,,,,,,,,,,Austria,Metal
