Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
China (People's Republic of),234267,21313,143420,141041,,13,,,,19590,,Belgium,Oxide
United Kingdom,4087,635,1959,563,1681,4362,15929,3354,444,4305,,Belgium,Oxide
Spain,95583,61256,39194,79173,10208,12127,28439,119,3046,3090,,Belgium,Oxide
Czech Republic,,,200,,,,1500,9,10,2260,,Belgium,Oxide
Germany,22200,26710,10380,30173,463,325,768,490,1006,1648,,Belgium,Oxide
Italy,46073,58041,12236,82809,9377,39269,19251,127,28,1055,,Belgium,Oxide
France,8190,10614,67489,41994,56721,23266,892,1328,332,386,,Belgium,Oxide
Egypt,,,,,,,,3428,,275,,Belgium,Oxide
Poland,1400,700,,,,,600,250,146,134,,Belgium,Oxide
Netherlands,4900,,,10000,3000,2000,,65,3490,65,,Belgium,Oxide
Sweden,,,,,,,,2056,110,58,,Belgium,Oxide
Denmark,,,,,,,,,9,55,,Belgium,Oxide
Hungary,,,,,200,,,11,17,41,,Belgium,Oxide
India,6000,21019,14,29,3118,199,216,82,577,31,,Belgium,Oxide
Canada,,8,3,5,4,19,11,11,6,22,,Belgium,Oxide
Serbia,,2,3,3,5,4,4,5,8,18,,Belgium,Oxide
C?te d'Ivoire,,,,,,,1,,,14,,Belgium,Oxide
Switzerland,149,232,260,253,13,,192,9,146,9,,Belgium,Oxide
Singapore,,,,,,1,1,1,,6,,Belgium,Oxide
Luxembourg,,200,400,,,,,2700,6571,6,,Belgium,Oxide
Algeria,,30,25,17,,1,2,,,6,,Belgium,Oxide
Turkey,20003,5,17,7,,24946,506,5,7,5,,Belgium,Oxide
Finland,10,13,18,,7,,1700,,4,5,,Belgium,Oxide
Portugal,,,,,,,,4,9,3,,Belgium,Oxide
Slovenia,,,,,,,,2,3,2,,Belgium,Oxide
Slovakia,,,,,,,,,,1,,Belgium,Oxide
Norway,,,,,,20,14,,,1,,Belgium,Oxide
Morocco,,,2001,2,,,,,54,1,,Belgium,Oxide
Greece,,,,,,,,19,75,1,,Belgium,Oxide
Brazil,29069,3500,1000,,,,1,1,,1,,Belgium,Oxide
Zambia,,,,,,,,,,,,Belgium,Oxide
South Africa,,8,100,3005,11,,,3,3,,,Belgium,Oxide
Viet-Nam,,,,,,0,7000,,,,,Belgium,Oxide
United States,32,177,21,19,19205,21602,,500,5000,,,Belgium,Oxide
Ukraine,,,,2000,,,,300,,,,Belgium,Oxide
Taiwan,49,62,73,246,27,8,13,3,3,,,Belgium,Oxide
Thailand,542,,5,1,2,,3,,1,,,Belgium,Oxide
Senegal,,,,,,,750,,,,,Belgium,Oxide
Saudi Arabia,6000,,,,,,,,,,,Belgium,Oxide
Russian Federation,,25,,,,,1,,,,,Belgium,Oxide
Romania,1800,1100,500,500,,100,,,,,,Belgium,Oxide
Qatar,,,,,,,4,5,20,,,Belgium,Oxide
New Zealand,,1,,2,8,2,,,1,,,Belgium,Oxide
Malaysia,1280,,501,675,2000,,,,,,,Belgium,Oxide
Mexico,,,,,,,,,,,,Belgium,Oxide
Latvia,,,,,,,,,,,,Belgium,Oxide
Lithuania,,,,,,,,3,1,,,Belgium,Oxide
Korea (Rep. of),,640,,,,70,,,91,,,Belgium,Oxide
Japan,,374,60,1035,12020,24,341,3,2,,,Belgium,Oxide
Jordan,,4,,,,,,,,,,Belgium,Oxide
Iceland,5,,,,,,,,,,,Belgium,Oxide
Israel,,,,,,,,,,,,Belgium,Oxide
Ireland,,,,,,,1,1,,,,Belgium,Oxide
Indonesia,,,1,,,,,,,,,Belgium,Oxide
Croatia,,,,,,,,,1,,,Belgium,Oxide
Hong Kong,125,,,,,5,,,,,,Belgium,Oxide
Estonia,,,,,,,,,,,,Belgium,Oxide
Australia,,,,,,,,5,,,,Belgium,Oxide
Argentina,,500,702,500,,2,,,4,,,Belgium,Oxide
