Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Estonia,,,,,,,,,,,5121,Brazil,Oxide
Turkey,,,,,,,,,,50,400,Brazil,Oxide
Ecuador,,,,,,,,,50,,60,Brazil,Oxide
Thailand,,,,,,,,,,,1,Brazil,Oxide
Venezuela,,,,,55,,,,,,,Brazil,Oxide
Uruguay,,,,24,93,,,,,,,Brazil,Oxide
Peru,,,77,60,,,,,,,,Brazil,Oxide
Mexico,,1,,,,7,,,,,,Brazil,Oxide
Korea (Rep. of),,,,,,,3070,,,,,Brazil,Oxide
India,,,,,,1,,,,,,Brazil,Oxide
Spain,57700,36395,20933,20900,,,,,1,,,Brazil,Oxide
Germany,,,,,,8,260,,,,,Brazil,Oxide
Costa Rica,,,,,,,,,11,,,Brazil,Oxide
Colombia,,,,100,,,,,,,,Brazil,Oxide
Chile,,,,320,,3,,,,,,Brazil,Oxide
Switzerland,1,,,,,,,,,,,Brazil,Oxide
Canada,,,,,,,,,,97609,,Brazil,Oxide
Bolivia,42,,,55,22,37,,,21,,,Brazil,Oxide
Belgium,,,,,,,,,,,,Brazil,Oxide
Argentina,,,,,225,473,,,,,,Brazil,Oxide
