Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,82483,61964,5730,4454,7453,62963,29042,4065,8509,14821,,Canada,Metal
Mexico,,,,,1,2,,,4073,31298,,Canada,Metal
Ecuador,,,,,,,,,,,,Canada,Metal
Argentina,600,,,,,,,,,6,,Canada,Metal
South Africa,,,1,,2,,214,,,,,Canada,Metal
Serbia,,,,,,,,,,1,,Canada,Metal
Taiwan,,1,4,23,,,,109,,,,Canada,Metal
Turkey,1425,,,,,,,,,,,Canada,Metal
Thailand,,,33500,184000,322000,345000,414000,460000,,,,Canada,Metal
Singapore,,,,,,,23,,,,,Canada,Metal
Sweden,,,,,,,,,,,,Canada,Metal
Saudi Arabia,6000,3000,,,31000,73000,,,,,,Canada,Metal
Russian Federation,300,3000,,,,,,,,,,Canada,Metal
Romania,600,,,,,,,,,,,Canada,Metal
Qatar,,5,584,3,,,,,,,,Canada,Metal
Poland,,,,,,,,,,,,Canada,Metal
Philippines,,,,,,,,,,,,Canada,Metal
Peru,,,,,,,,,,,,Canada,Metal
New Zealand,,,,,,10,,,,,,Canada,Metal
Norway,,,,,,,,,38,27,,Canada,Metal
Netherlands,11200,,172000,,2000,4800,,300,,5668,,Canada,Metal
Malaysia,1718,150,100,,,,,,,,,Canada,Metal
Morocco,,,35,,,,,,,,,Canada,Metal
Latvia,,,,,,,,,,,,Canada,Metal
Korea (Rep. of),4,,2,,,1,3,,,,,Canada,Metal
Japan,,,,,70,,,,,,,Canada,Metal
Jordan,,,,,,,5,,,,,Canada,Metal
Italy,,,,,,,9,,,,,Canada,Metal
India,4828,,2,,,,,,,50,,Canada,Metal
Hungary,,,,,,,,,,,,Canada,Metal
Honduras,1,,,,,,,,,,,Canada,Metal
Hong Kong,,,,,,860,,,,,,Canada,Metal
Guatemala,,411,7,,,,,,,,,Canada,Metal
Ghana,,,,30,,,,,,,,Canada,Metal
United Kingdom,48152,,15,45,4,132,,,,,,Canada,Metal
France,2375,733,244,,41,12117,2,,25,799,,Canada,Metal
Spain,,7961,,,70,,,,7,,,Canada,Metal
Germany,,269,129,819,711,2,10,,44,1802,,Canada,Metal
Colombia,450,60,,,,,,,,,,Canada,Metal
China (People's Republic of),,,7188,6251,7600,8941,,4720,,730,,Canada,Metal
Chile,4050,,,,,,,,,,,Canada,Metal
Switzerland,,,6,,,,,,,,,Canada,Metal
Canada,277,16121,2072,2008,,4,,6,,1,,Canada,Metal
Brazil,,5000,,,,,,,,1,,Canada,Metal
Belgium,,,,,,6400,,,100,,,Canada,Metal
Australia,,,,,,,,,8,,,Canada,Metal
Austria,,,,,,,,,100,,,Canada,Metal
