Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,2984261,2286121,1759431,3015498,4353376,3881565,3743702,3915199,2527053,4941188,5149704,China (People's Republic of),Metal
India,6973754,6965210,6267922,8129650,6792849,7533950,9076727,10197851,9480111,9079783,3400856,China (People's Republic of),Metal
Malaysia,2075128,1135631,633546,675157,1577620,1528258,3017362,5198293,5755747,6907118,3095757,China (People's Republic of),Metal
Japan,9507512,6782910,4817662,5999903,4956281,3914158,3790363,5003796,4956896,4041366,1875623,China (People's Republic of),Metal
Russian Federation,1306216,614367,537525,1860155,2303397,3149211,3578277,3278066,2833419,2441998,1007140,China (People's Republic of),Metal
Norway,1119644,1317908,220400,290350,824334,1153014,1276288,1059400,1207710,1799966,974700,China (People's Republic of),Metal
France,1018977,1221733,562047,1431287,1596381,1443553,1731758,1729316,1606336,1879615,844467,China (People's Republic of),Metal
Netherlands,1088600,1506000,733500,1387100,3534000,1674300,836200,1058368,783870,1217974,826719,China (People's Republic of),Metal
Turkey,7305,10310,1404,37872,335567,74780,56095,213544,219567,672008,708806,China (People's Republic of),Metal
Slovenia,157900,118800,30700,46300,116200,217200,227600,463100,479010,832600,523800,China (People's Republic of),Metal
Korea (Rep. of),1509079,1351840,986250,1495262,2316324,1762130,1791584,1571751,1117733,966822,470093,China (People's Republic of),Metal
Mexico,375093,437843,485462,1092925,894731,1157263,941162,981913,914768,796665,433237,China (People's Republic of),Metal
Nigeria,,6000,955,,,19801,310475,80894,77289,1890394,423092,China (People's Republic of),Metal
Belgium,366200,318500,305000,429700,197700,444100,805200,643100,693600,904900,317100,China (People's Republic of),Metal
Taiwan,89072,295864,149916,227426,460388,362843,200556,673607,898658,765784,313882,China (People's Republic of),Metal
Thailand,111124,271600,967385,645753,558821,87569,563537,560899,552863,448563,248947,China (People's Republic of),Metal
Spain,325713,962427,415201,1080028,547866,510576,647236,944545,1126788,951083,233127,China (People's Republic of),Metal
Ukraine,80980,144570,395900,601800,1135484,1590535,1537600,1271606,868600,1334520,190850,China (People's Republic of),Metal
Germany,673600,784833,289287,642360,479414,484867,487401,582698,462758,311081,181353,China (People's Republic of),Metal
Czech Republic,265000,308200,220600,636000,528000,349200,372000,268233,448002,420002,176001,China (People's Republic of),Metal
Brazil,1848641,1490650,1072883,2002854,1059482,502807,646456,644011,267110,408261,169900,China (People's Republic of),Metal
Indonesia,707958,468089,1340129,279549,224720,417320,368631,380330,543367,594849,131774,China (People's Republic of),Metal
Italy,91110,46596,46051,17184,803418,233871,138757,200088,163767,189979,104372,China (People's Republic of),Metal
Australia,65200,171660,34602,46000,33900,86600,87664,123150,99000,100200,102116,China (People's Republic of),Metal
Slovakia,,,100,100,200,140100,400,112000,343255,70080,98040,China (People's Republic of),Metal
Poland,60000,92000,109200,95500,155300,221100,130000,138490,331234,104902,89500,China (People's Republic of),Metal
South Africa,35003,17513,28112,209885,66525,82375,86872,276794,196871,412380,67170,China (People's Republic of),Metal
Canada,224491,154665,142526,283728,95923,531638,357242,293397,310232,201533,66244,China (People's Republic of),Metal
United Kingdom,247251,336777,213737,262483,328127,283947,161299,367748,119630,118090,59651,China (People's Republic of),Metal
Egypt,,,,86995,54644,34147,103534,159640,50260,40936,54216,China (People's Republic of),Metal
Iran (Islamic Rep. of),,,,,,39972,13761,83387,39162,79000,51440,China (People's Republic of),Metal
Philippines,,84400,80260,61267,111651,184072,311388,44039,307623,23900,46199,China (People's Republic of),Metal
Argentina,167900,171060,210300,396400,219185,212804,237520,351753,146900,203100,41977,China (People's Republic of),Metal
Singapore,,,,,62684,42595,65749,72627,71065,73813,26710,China (People's Republic of),Metal
Senegal,,,144450,96300,48150,96300,,,,,26104,China (People's Republic of),Metal
Qatar,284084,168727,386621,615035,162967,252308,20000,20130,59618,6490,24520,China (People's Republic of),Metal
Austria,15000,56700,1000,24500,71000,58200,63300,70500,114700,112400,22000,China (People's Republic of),Metal
Jordan,,300,32028,100,,,,28125,15130,,19200,China (People's Republic of),Metal
Switzerland,4896,11092,13453,32516,34399,26554,8715,26954,13435,24362,17949,China (People's Republic of),Metal
Estonia,89800,169500,63300,57600,,,66000,93000,25000,72000,12400,China (People's Republic of),Metal
Morocco,1300,34400,,20000,40000,3208,683,6589,7351,35896,10874,China (People's Republic of),Metal
Hong Kong,203760,675273,81159,97861,282018,160657,11145,22799,39416,144365,7407,China (People's Republic of),Metal
Bulgaria,18200,13500,29300,7200,26000,12000,,12000,12000,15448,3997,China (People's Republic of),Metal
Ecuador,,,150,3800,500,3000,20570,60,9390,6040,3000,China (People's Republic of),Metal
Colombia,2050,943,15360,22300,7000,20608,12832,12670,15000,35400,2400,China (People's Republic of),Metal
Sweden,500,,,,,200,6100,5026,58,7200,1726,China (People's Republic of),Metal
Hungary,,3600,500,,300,,,,9,70,547,China (People's Republic of),Metal
Ghana,,,,,652,4692,44,741,1529,129737,378,China (People's Republic of),Metal
China (People's Republic of),291500,45481,92341,480,14,740,1960,5250,8961,10250,217,China (People's Republic of),Metal
Guatemala,,17748,316,23,25666,605,1,251,275,197,171,China (People's Republic of),Metal
Bolivia,1153,1003,113,,4709,9341,5376,,2600,,36,China (People's Republic of),Metal
Romania,,,,,,,,,,,20,China (People's Republic of),Metal
Kenya,,,,17000,704,,2190,1,,22508,7,China (People's Republic of),Metal
Montenegro,,,,,,,,,,4,2,China (People's Republic of),Metal
Zambia,,,95076,155400,39220,800,11266,29742,84427,104476,,China (People's Republic of),Metal
Serbia,,,,1960,3750,2010,1001,,,152,,China (People's Republic of),Metal
Viet-Nam,,,,,,12100,88421,64530,,,,China (People's Republic of),Metal
Venezuela,,,,,,,,,,11620,,China (People's Republic of),Metal
Uruguay,,1,,,779,35,2587,234,,632,,China (People's Republic of),Metal
Tanzania (United Rep. of),,,,,2108,,,6458,182069,2390,,China (People's Republic of),Metal
Togo,,1276,,1738,,9576,164810,30045,,,,China (People's Republic of),Metal
El Salvador,859,,,,,,150,22,,,,China (People's Republic of),Metal
Saudi Arabia,6000,4181000,9995000,10431000,6387000,1033000,25000,29000,114000,70000,,China (People's Republic of),Metal
Paraguay,1568,846,24,,,,1560,,,,,China (People's Republic of),Metal
Portugal,,,,,,,,3,,,,China (People's Republic of),Metal
Peru,,,3060,,23520,,6229,100230,1800,3700,,China (People's Republic of),Metal
New Zealand,10,24111,2498,,26100,,62,64,2131,6,,China (People's Republic of),Metal
Nicaragua,1125,,1075,,761,3,,,,1,,China (People's Republic of),Metal
Macao,,56200,,,,,,,,,,China (People's Republic of),Metal
Latvia,,,,,500,,,,,,,China (People's Republic of),Metal
Luxembourg,,,,,,,,,,,,China (People's Republic of),Metal
Lithuania,,,,,100,,1000,163,,,,China (People's Republic of),Metal
Kazakhstan,33001,45090,35722,107320,12000,,10050,12000,,4,,China (People's Republic of),Metal
Iceland,,509788,,668027,812210,,,581,,,,China (People's Republic of),Metal
Israel,,,,,,,,,,,,China (People's Republic of),Metal
Ireland,23000,,,847,,1509,,,,,,China (People's Republic of),Metal
Honduras,102381,676,7001,33180,,4,,,,,,China (People's Republic of),Metal
