Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Japan,1445752,668900,498000,190001,377000,998000,282959,880298,628000,1028363,,Estonia,Oxide
United States,4000,70983,214850,246743,397208,602709,725438,1034386,1046784,957746,,Estonia,Oxide
Germany,78000,52800,66000,118800,27400,390839,112020,519981,959351,583000,,Estonia,Oxide
United Kingdom,,5000,,67462,259090,27000,134000,202397,272204,205165,,Estonia,Oxide
Spain,,61000,38100,35000,47400,55500,97844,59975,110000,95000,,Estonia,Oxide
China (People's Republic of),,91147,20000,50000,,130004,40000,60000,40095,89655,,Estonia,Oxide
Russian Federation,27500,18705,11724,19500,180,16850,114266,75245,48425,71350,,Estonia,Oxide
Thailand,,,,,,,,38000,80000,40000,,Estonia,Oxide
Mexico,,,,1,500,3000,,,,1500,,Estonia,Oxide
Italy,,,22000,22000,,1297,5000,3500,5000,1000,,Estonia,Oxide
Lithuania,,,,,,,300,150,100,125,,Estonia,Oxide
Korea (Rep. of),,,,,,40000,,,,16,,Estonia,Oxide
Latvia,,,,100,,200,,1,7,5,,Estonia,Oxide
South Africa,,,,,,2562,4060,,,,,Estonia,Oxide
Viet-Nam,,,,,,,133605,80000,,,,Estonia,Oxide
Ukraine,,525,640,880,,,,,,,,Estonia,Oxide
Singapore,,,,,,,,5,,,,Estonia,Oxide
Poland,22000,20000,,,,,,,,,,Estonia,Oxide
Netherlands,,,,40000,,,2000,,,,,Estonia,Oxide
Indonesia,,,,1300,2000,40000,,60000,20000,,,Estonia,Oxide
France,69200,650000,650664,283200,4000,888793,,,,,,Estonia,Oxide
Czech Republic,,,,,200,,,,25,,,Estonia,Oxide
Cyprus,,,,24000,,,,,,,,Estonia,Oxide
Switzerland,,,,,,998,4000,,,,,Estonia,Oxide
Belarus,,,,,,,50,,,,,Estonia,Oxide
Australia,,,,,,5,,,,,,Estonia,Oxide
