Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Hungary,,,,,,,,,,3400,,France,Metal
Spain,1200,500,1,5,102,165,1463,1352,1374,2700,,France,Metal
Germany,7200,16351,3252,17199,4559,2098,501,2351,4342,2150,,France,Metal
Belgium,2200,4100,28800,4400,3800,5200,4600,900,1100,1100,,France,Metal
Singapore,,,,,,,17240,20120,23540,600,,France,Metal
France,,1,,,3,1,9,4,1121,250,,France,Metal
United States,,,,,,,5,80,159,146,,France,Metal
Czech Republic,2000,,,2300,1000,100,100,125,150,100,,France,Metal
Ethiopia,,,,,,,,,,98,,France,Metal
Portugal,,,,,200,,,150,1125,50,,France,Metal
Luxembourg,,,,,,,,,1,20,,France,Metal
United Kingdom,,233,,,1,,16,,,12,,France,Metal
Norway,,,,,,,,,,8,,France,Metal
Italy,1300,650,806,503,354,46,32577,102,504,3,,France,Metal
South Africa,,,,1750,,,,,,,,France,Metal
Taiwan,,,,,,2,,3,,,,France,Metal
Sweden,,2000,,,,,,202,,,,France,Metal
Romania,600,900,,,,,600,,,,,France,Metal
Qatar,,,,,,500,,,,,,France,Metal
Poland,,,,,,,24200,,100,,,France,Metal
Netherlands,,,,,,900,,,28,,,France,Metal
Morocco,,,,,,,,,2,,,France,Metal
Latvia,,,,,,,,,,,,France,Metal
Kazakhstan,,1117,,,,,,,,,,France,Metal
Korea (Rep. of),,28,,9,,,,,,,,France,Metal
Greece,,,,,,,,2,,,,France,Metal
Finland,,,,,2,,,,,,,France,Metal
Algeria,8,,,,,,,,,,,France,Metal
China (People's Republic of),,,,,,,,,,,,France,Metal
Switzerland,,1,50,100,,,,,,,,France,Metal
Bulgaria,200,1000,,,,,,,,,,France,Metal
Australia,,,,,,,,,,,,France,Metal
