Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Czech Republic,6500,8500,3800,21000,25600,45300,69600,176731,169797,363677,,Germany,Oxide
Philippines,,,,,,41900,40591,33219,7,61450,,Germany,Oxide
Poland,8800,9800,6700,10800,11400,15400,12900,10687,11509,39579,,Germany,Oxide
China (People's Republic of),18062,25737,49754,90551,15409,15667,10385,6072,9448,9859,,Germany,Oxide
Mexico,79,21,31,5985,2818,4238,3774,1815,709,8053,,Germany,Oxide
United States,10916,13170,36555,2343,30938,95896,97143,158217,209207,7518,,Germany,Oxide
Switzerland,4400,6325,4652,16533,7306,3484,3017,4785,21065,6495,,Germany,Oxide
South Africa,399,2231,239,9823,1643,3493,643,53164,42461,4716,,Germany,Oxide
Japan,4243,3114,1853,29065,33274,894,982,2331,2334,2989,,Germany,Oxide
Sweden,1600,1000,1100,2200,7000,7200,3500,8027,5454,2099,,Germany,Oxide
Malaysia,11639,31960,11,17465,11244,7316,872,3689,15527,2037,,Germany,Oxide
Netherlands,2600,31800,100,700,,800,1300,576,4306,1920,,Germany,Oxide
India,4,26666,16558,10365,16532,3473,2171,1654,1905,1911,,Germany,Oxide
Canada,1520,1073,3324,4841,1386,13729,6103,10669,1339,1867,,Germany,Oxide
France,26299,183907,212999,16568,6351,2262,5705,1421,1707,1748,,Germany,Oxide
Argentina,3317,4,1143,8,10,20,1076,3646,1411,1612,,Germany,Oxide
Italy,120907,79676,48749,47177,45238,79622,32534,21362,32939,1482,,Germany,Oxide
Korea (Rep. of),30811,35003,28897,48332,44254,34632,7091,3887,2229,1437,,Germany,Oxide
Finland,234,142,215,5470,354,895,68,953,50,1404,,Germany,Oxide
Belgium,25400,4200,6300,4800,14200,5800,7100,17500,3000,1400,,Germany,Oxide
Romania,900,600,300,100,100,100,,319,311,1325,,Germany,Oxide
United Kingdom,1495,35789,2096,8027,6674,8309,4019,1162,1747,1200,,Germany,Oxide
Taiwan,7815,11914,7443,14412,30523,33813,12069,4480,3980,1169,,Germany,Oxide
Russian Federation,43318,18700,10719,379,14046,1302,120,493,5909,790,,Germany,Oxide
Jordan,13,,2,9,31,1,,,290,700,,Germany,Oxide
