Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Philippines,,,,,,,,,,59421,,Hong Kong,Oxide
China (People's Republic of),50,20112,1691,30847,960,,,,,20016,,Hong Kong,Oxide
Spain,,,,,2135,1,,,,10225,,Hong Kong,Oxide
Czech Republic,,,,,1400,12700,7300,16510,12505,8647,,Hong Kong,Oxide
Netherlands,,,100,100,3400,,,20695,485,6230,,Hong Kong,Oxide
Russian Federation,,4480,4480,20000,,205,650,,40,5200,,Hong Kong,Oxide
United States,163414,476647,600,36600,1926,250,142944,4979,4085,3820,,Hong Kong,Oxide
Malaysia,,10000,10000,8700,4000,920700,100,200,2665,2620,,Hong Kong,Oxide
France,,,,1800,,2782,22182,17000,1061,233,,Hong Kong,Oxide
Brazil,,,,,,,,125,,100,,Hong Kong,Oxide
Georgia,,,,,,,22,,,50,,Hong Kong,Oxide
Italy,,,,,,500,,,5000,16,,Hong Kong,Oxide
Korea (Rep. of),7000,200,25,81210,21102,4061,2244,4684,91,7,,Hong Kong,Oxide
Chile,,,,,,,,,,5,,Hong Kong,Oxide
Costa Rica,,,,,,,,,12,4,,Hong Kong,Oxide
Hungary,,,,,,,,,,2,,Hong Kong,Oxide
Finland,,,,,,,,,,2,,Hong Kong,Oxide
Switzerland,50,,,,3,,108,,2,2,,Hong Kong,Oxide
Germany,300,325,1550,53850,16101,2835,1020,1585,,1,,Hong Kong,Oxide
South Africa,,,,366,,,,,,,,Hong Kong,Oxide
Venezuela,,,,,,,,,1010,,,Hong Kong,Oxide
Taiwan,1200,150,150,300,1000,1001,2000,,,,,Hong Kong,Oxide
Thailand,,,,2010,2845,16029,300,725,,,,Hong Kong,Oxide
Singapore,,,,,81,250,,,,,,Hong Kong,Oxide
Sweden,,,,,,,,14,,,,Hong Kong,Oxide
Romania,,,,,,,,,,,,Hong Kong,Oxide
Portugal,,,,,,,,,23,,,Hong Kong,Oxide
Poland,,,,,,,,,,,,Hong Kong,Oxide
Norway,,,,,,3,,,,,,Hong Kong,Oxide
Mexico,,,,,,11,501,,800,,,Hong Kong,Oxide
Morocco,,,,,,,400,300,475,,,Hong Kong,Oxide
Japan,,,,,11000,,,20,,,,Hong Kong,Oxide
Iran (Islamic Rep. of),,,,,,1000,5000,,,,,Hong Kong,Oxide
India,,,1000,2,1521,9547,5275,28250,3101,,,Hong Kong,Oxide
Israel,,,,,,,,,,,,Hong Kong,Oxide
Indonesia,,,9000,9500,3000,308,123,169,,,,Hong Kong,Oxide
Hong Kong,40,,,,,24,,,10,,,Hong Kong,Oxide
United Kingdom,2200,,,,4435,,17383,20995,,,,Hong Kong,Oxide
Ecuador,,,,,,150,,,,,,Hong Kong,Oxide
Denmark,,,,,,100,,,,,,Hong Kong,Oxide
Canada,,,,,,4995,,90,14,,,Hong Kong,Oxide
Belgium,,,,100,,,,,,,,Hong Kong,Oxide
Australia,,,,,,,,,10,,,Hong Kong,Oxide
Argentina,,,,,1225,,,1,,,,Hong Kong,Oxide
