Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Bulgaria,,,,,,,,12000,23780,118838,47554,India,Metal
South Africa,,3947,5500,49,58,252,,220,436,12147,23990,India,Metal
Belgium,,87100,3400,3700,7100,5400,3700,2400,111400,,7100,India,Metal
Bolivia,,108,,,,,,,,1448,4404,India,Metal
United States,55010,21453,11055,7190,22243,22089,21660,13290,14252,22509,4003,India,Metal
Jordan,20200,77,,201,,,,,100,,3015,India,Metal
Paraguay,,68,,86,,,,,,,1863,India,Metal
Canada,25746,4627,17,12853,8365,272,940,10,2,345,1337,India,Metal
Kenya,,,,10561,3518,2736,2203,5546,3324,2361,699,India,Metal
Turkey,,522,300,20,1030,61,1,25,680,184,284,India,Metal
Iran (Islamic Rep. of),,,,,,80,,1442,182,960,200,India,Metal
Brazil,2,,,,,,,70,,35,200,India,Metal
Morocco,,,,,,,,32,,25,150,India,Metal
Philippines,,106,104,,818,2320,104,18577,771,1520,96,India,Metal
Guatemala,,,775,110,227,112,1334,176,169,341,64,India,Metal
Costa Rica,,762,,,,,7,,,37,35,India,Metal
Argentina,,,2000,,,,,,10,,35,India,Metal
Spain,,,,,,104,,,1,,25,India,Metal
Ghana,,,,225,1761,8,98,47,4714,1377,12,India,Metal
Bahrain,,,,,,,,8,1,2,7,India,Metal
Algeria,,80,800,97,134,90,,,21,,5,India,Metal
Korea (Rep. of),,,1,122,1,,3,5,75,,2,India,Metal
Qatar,242596,28809,25020,147625,65319,109400,85323,68379,19292,560,1,India,Metal
Viet-Nam,,,,,,0,2000,,,,,India,Metal
Uruguay,,,,,,13,,,3,,,India,Metal
Tanzania (United Rep. of),,,,,20647,18752,7547,36146,6,,,India,Metal
Taiwan,,6,,,,,2,,,,,India,Metal
Thailand,,11,4,1015,4003,2000,,750,,,,India,Metal
Togo,,,,,,,,53450,,,,India,Metal
El Salvador,3,,,,,,,,,1,,India,Metal
Senegal,,,,,574000,17600,,,,16000,,India,Metal
Singapore,,,,,92322,1725,,,2,6,,India,Metal
Saudi Arabia,2000,657000,10000,13000,14000,87000,25000,6000,7000,2000,,India,Metal
Portugal,,,,,,,,,,,,India,Metal
Peru,2,1,,100,,,,21,,,,India,Metal
New Zealand,782,,365,21,314,,,,,18,,India,Metal
Norway,,,,,,,,1,,,,India,Metal
Netherlands,100,100,,,,500,,,,,,India,Metal
Nicaragua,,,,,,,,,,12,,India,Metal
Nigeria,2330,1,10096,20440,,3378,,11378,7755,2187,,India,Metal
Malaysia,365500,283603,81310,122033,88531,221686,74190,1032,1000,479,,India,Metal
Mexico,,,,,10,,10,20,,,,India,Metal
Japan,,,,,,,,,,1000,,India,Metal
Italy,90000,54000,54000,77018,72000,,,100,605,,,India,Metal
Israel,,,,,,,,,,,,India,Metal
Ireland,,1917,477,,,,,,,,,India,Metal
Indonesia,63050,,10,66,4830,250,947,12,34,541,,India,Metal
Hungary,,,,,,,,,,,,India,Metal
Honduras,1,,,,,,,,,,,India,Metal
Hong Kong,,,,,,,,,595,,,India,Metal
United Kingdom,,27,,20,200,297,100,,100,263,,India,Metal
France,,,2025,50,,,29,3,1,180,,India,Metal
Finland,,,2,,,,,,,,,India,Metal
Ethiopia,,,,,,,,10407,8155,15990,,India,Metal
Egypt,,220,15821,1808,1082,752,84,,,,,India,Metal
Ecuador,,,,,,,10,20,180,,,India,Metal
Germany,,111,2,251,99,103,33,42,30,1,,India,Metal
Colombia,,14,64,,25,,1,,,6555,,India,Metal
China (People's Republic of),24,,,,,,,,,,,India,Metal
Chile,,,,4,,,,50,,,,India,Metal
Switzerland,,,,20,,,,,2,1,,India,Metal
Botswana,,,,,,4,,,,,,India,Metal
Australia,,,,,,,,,5,,,India,Metal
Austria,,,,,,,,,,,,India,Metal
