Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Poland,,,,,,,,,104450,546786,,Italy,Metal
Algeria,,,,,,,,,,65,,Italy,Metal
Serbia,3227,499,,,,,,,,,,Italy,Metal
United States,,,,,,164,,,25,,,Italy,Metal
Turkey,,,275,,,4000,2050,1025,,,,Italy,Metal
Slovenia,23500,30600,20600,16700,3300,14300,5300,7500,15200,,,Italy,Metal
Singapore,,,,,1,,,,,,,Italy,Metal
Qatar,,,135028,,,,,,,,,Italy,Metal
Norway,,221,,,,,,,,,,Italy,Metal
Netherlands,,,,,,,,,,,,Italy,Metal
Mexico,,,,100,,,,,,,,Italy,Metal
Morocco,,200,,,,,,,,,,Italy,Metal
Iceland,,,,,,19,,,,,,Italy,Metal
India,600,,,600,600,600,2100,1400,500,,,Italy,Metal
United Kingdom,500,,,,,,,,,,,Italy,Metal
France,,,6500,11000,10825,11599,2020,1800,8,,,Italy,Metal
Spain,,50,250,1400,6000,3000,5001,15000,,,,Italy,Metal
Germany,,,50,60497,,,,,,,,Italy,Metal
Czech Republic,,,,,1000,,,,,,,Italy,Metal
China (People's Republic of),,,,,,,,,,,,Italy,Metal
Switzerland,,,10,6,68,3,,,,,,Italy,Metal
Canada,,,,,,,,,14,,,Italy,Metal
