Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,728669,678844,474817,1005166,2083483,2160951,1640039,1200963,1455281,2142550,,Japan,Oxide
Taiwan,980215,821291,1077286,631064,585484,874834,974235,1115873,1411906,1238771,,Japan,Oxide
Korea (Rep. of),658263,779857,754436,723167,282901,610370,521968,605756,396591,646878,,Japan,Oxide
Thailand,699086,920388,245403,295209,150038,39431,44660,331389,459585,478114,,Japan,Oxide
France,62788,33081,149346,195400,200296,425347,410303,196117,246190,307920,,Japan,Oxide
South Africa,70560,54493,42634,29821,12500,,1260,22783,139819,206998,,Japan,Oxide
China (People's Republic of),2578709,1293287,369722,366303,60545,326555,543831,304904,180409,171143,,Japan,Oxide
Germany,76900,41214,49411,96514,65971,26300,84367,142185,282269,129514,,Japan,Oxide
India,49150,42125,78238,58758,130960,49366,80754,42731,72744,111640,,Japan,Oxide
Poland,,,,,,,100,100,40,88210,,Japan,Oxide
United Kingdom,6196,2496,1724,3982,2170,111808,211706,149262,151772,84922,,Japan,Oxide
Malaysia,49733,480604,596714,459897,391296,453994,26007,4486,12280,22936,,Japan,Oxide
Indonesia,1029,3256,2025,87,306,43074,13242,23820,19275,18549,,Japan,Oxide
Spain,,,,,,,,,3000,2002,,Japan,Oxide
Costa Rica,,,,,,1833,2640,2641,2943,1800,,Japan,Oxide
Philippines,73759,134503,21469,132,82400,20898,4560,112,1086,1729,,Japan,Oxide
Mexico,18448,6354,475,3808,3780,14622,4861,3055,1294,1549,,Japan,Oxide
Argentina,,,,,1500,5000,12000,11000,7500,1000,,Japan,Oxide
Belgium,2500,,,,200,,,700,,400,,Japan,Oxide
Italy,9604,4642,4000,12075,17080,14045,92,,191,368,,Japan,Oxide
Finland,200,,1000,,,,,170,120,360,,Japan,Oxide
Czech Republic,200,400,5400,300,1100,200,300,500,121,352,,Japan,Oxide
Hong Kong,28282,239028,4367,6724,42761,85297,1114,1476,12792,320,,Japan,Oxide
Singapore,,,,,230,3173,371,1,22,127,,Japan,Oxide
Australia,40,189,75,3,,,66,61,121,122,,Japan,Oxide
Canada,11815,11453,1773,711,,17,10,,77,28,,Japan,Oxide
Portugal,,,,,,,,,10,20,,Japan,Oxide
Turkey,,,,,,,500,,,15,,Japan,Oxide
Denmark,,,600,700,200,,,104,24,8,,Japan,Oxide
Switzerland,,7,,,12,21,18,2,153,8,,Japan,Oxide
Slovakia,,,,,,,,,,7,,Japan,Oxide
Estonia,,,,24000,,,,,6,4,,Japan,Oxide
Bolivia,,,,,,,,,3,1,,Japan,Oxide
Serbia,,,,,20,,,,,,,Japan,Oxide
Viet-Nam,,,,,,481550,588478,313183,,,,Japan,Oxide
Ukraine,,,,,,,,,,,,Japan,Oxide
Sweden,,,,,,,,,,,,Japan,Oxide
Russian Federation,,,,,,21,,5,,,,Japan,Oxide
Qatar,,,,2000,,,,,,,,Japan,Oxide
Peru,,,,,,,,,,,,Japan,Oxide
New Zealand,,,,,,2,,,,,,Japan,Oxide
Norway,,,,,,,9610,2280,,,,Japan,Oxide
Netherlands,,10000,100,,700,,500,815,100,,,Japan,Oxide
Morocco,,20,,,,,,,,,,Japan,Oxide
Israel,,,,,,,,,,,,Japan,Oxide
Ireland,12940,9696,4644,2589,1728,1080,,,,,,Japan,Oxide
Hungary,,,,,200,1600,,,,,,Japan,Oxide
Algeria,,,,,,,,,4,,,Japan,Oxide
Belarus,,,,,,,,,,,,Japan,Oxide
Brazil,2850,860,500,400,,100,225,540,500,,,Japan,Oxide
