Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Bahrain,,,,,,,,220500,160000,520000,240000,Malaysia,Metal
Thailand,18000,,,,,,30000,,,32000,20000,Malaysia,Metal
Germany,,,,,,,1,2,60,7700,3864,Malaysia,Metal
Indonesia,3,,36359,105851,21390,126,17947,12798,6634,75,280,Malaysia,Metal
Singapore,,,,,25,,,600,,,180,Malaysia,Metal
South Africa,,,,,,,1,,,,,Malaysia,Metal
Tanzania (United Rep. of),,,,,,,,,120960,,,Malaysia,Metal
Taiwan,,,200,165,1348,,,,,,,Malaysia,Metal
Saudi Arabia,31000,79000,798000,371000,69000,,,,,,,Malaysia,Metal
Qatar,20500,102939,98639,20160,,,,3000,,,,Malaysia,Metal
Philippines,,,,23034,,,,,,,,Malaysia,Metal
New Zealand,,50,,,,,,,,,,Malaysia,Metal
Malaysia,,,19800,,,,,,,,,Malaysia,Metal
Korea (Rep. of),,1,,,,1110,,,,,,Malaysia,Metal
Italy,,,,22000,,,,,,,,Malaysia,Metal
India,4000,,,72000,70103,37510,201,200,,,,Malaysia,Metal
Hungary,100,,,,,,,,500,4,,Malaysia,Metal
Hong Kong,,,,,,,,,22600,7650,,Malaysia,Metal
Ghana,,,,,,,16,,,,,Malaysia,Metal
United Kingdom,,,,,,,110,,,,,Malaysia,Metal
Costa Rica,,,54,,,,,,,,,Malaysia,Metal
Canada,,,,,,6,,20104,,,,Malaysia,Metal
Belgium,,,,,,,,300,,,,Malaysia,Metal
