Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Belgium,8400,6200,,2700,5200,4100,5300,3300,6200,1100,11100,Netherlands,Metal
Germany,3400,18010,16,8134,,1700,,4,1,,253,Netherlands,Metal
Poland,300,,,400,,,,,,,100,Netherlands,Metal
China (People's Republic of),,,,,,,,,,,86,Netherlands,Metal
Italy,,10500,1,1,999,10000,1000,1,,,13,Netherlands,Metal
South Africa,,,,,7,26,4,8,7,2,,Netherlands,Metal
Thailand,4,5,6,,,,,,,,,Netherlands,Metal
Slovenia,,6100,1000,,,,,4300,,,,Netherlands,Metal
Sweden,6000,11500,,,,,100,50,100,,,Netherlands,Metal
Russian Federation,20000,,20000,16200,12904,,,,,,,Netherlands,Metal
Norway,40000,180,,,,,,,,,,Netherlands,Metal
Malaysia,,,,,,1000,500,,,,,Netherlands,Metal
Luxembourg,,,,,,,,,,,,Netherlands,Metal
Lithuania,,,,,,,,,,,,Netherlands,Metal
Korea (Rep. of),,,,46,,,,,,,,Netherlands,Metal
Japan,,,,,45,20,20,,,20,,Netherlands,Metal
Iceland,,,,,,,,,,1,,Netherlands,Metal
Israel,,,,,,,,,,,,Netherlands,Metal
Hungary,,,,,100,,,,,,,Netherlands,Metal
United Kingdom,4113,,1501,6933,11369,2283,57,14400,10339,,,Netherlands,Metal
France,,,,,,,10,104,,175,,Netherlands,Metal
Spain,,9,,,,2400,,,,,,Netherlands,Metal
Egypt,,,,,,,,,5207,,,Netherlands,Metal
Denmark,,200,,,,,,,,,,Netherlands,Metal
Bulgaria,,,,,,,,,,,,Netherlands,Metal
Argentina,,,,,,,,,14000,,,Netherlands,Metal
