Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,1106322,1260870,376630,627620,710279,551488,606326,771298,462883,982063,394481,Russian Federation,Metal
Netherlands,271600,158100,272800,,244900,,219800,275706,599224,,118657,Russian Federation,Metal
Norway,602841,17676,55730,257934,394868,294007,,215736,388671,191825,113289,Russian Federation,Metal
France,599587,187989,173404,235252,248600,234757,180200,148341,146912,126262,110152,Russian Federation,Metal
Germany,857500,594189,603940,882032,800699,903481,1079768,1151824,403703,168234,58188,Russian Federation,Metal
Bulgaria,42000,27800,55600,27800,55200,41700,42900,44118,61920,46440,30960,Russian Federation,Metal
Japan,63160,25029,36184,47791,33055,24648,6500,9921,15434,28880,25720,Russian Federation,Metal
Estonia,103800,103800,17400,69200,86500,69200,51900,51840,17480,34560,17280,Russian Federation,Metal
Belgium,91200,3800,1600,2000,9900,9500,6600,13200,6600,,16200,Russian Federation,Metal
India,206211,34707,72077,,,,,,944,21903,13000,Russian Federation,Metal
Taiwan,,,,,,,,1,3496,58791,7389,Russian Federation,Metal
Ukraine,474569,488018,415116,261210,33869,,2893,,3315,3886,6809,Russian Federation,Metal
Austria,2700,,,,,,,,,2700,5800,Russian Federation,Metal
Kenya,,,,,,,,,,,1726,Russian Federation,Metal
South Africa,,,,,,,,,,2,1725,Russian Federation,Metal
Belarus,,,,,,,82,1261,17,870,624,Russian Federation,Metal
United Kingdom,200,212,,,,,,,,,18,Russian Federation,Metal
Korea (Rep. of),,,1,1,4,4,4,12,8,10,14,Russian Federation,Metal
Canada,,,,6150,994,8400,4409,8092,11084,1581,8,Russian Federation,Metal
Turkey,,,,,2396,3356,4320,,5120,,2,Russian Federation,Metal
Serbia,952,1428,,600,,,,,,,,Russian Federation,Metal
Slovakia,,,,,,,,,,,,Russian Federation,Metal
Slovenia,267000,230500,37800,87000,32200,,,,,,,Russian Federation,Metal
Singapore,,,,,,39848,103500,,,,,Russian Federation,Metal
Sweden,,,,,,,800,,2460,,,Russian Federation,Metal
Qatar,,84000,,,,4628,,3000,,,,Russian Federation,Metal
Poland,17900,,4800,,,,,,,,,Russian Federation,Metal
Philippines,18216,,,,,,,,,,,Russian Federation,Metal
New Zealand,,,,,,,,,,,,Russian Federation,Metal
Mexico,,,,,,,,,,,,Russian Federation,Metal
Morocco,154,400,,,,616,,,,,,Russian Federation,Metal
Latvia,,,,,,,,,,410,,Russian Federation,Metal
Kazakhstan,94243,110656,122717,61467,,,,,,,,Russian Federation,Metal
Jordan,,143400,399761,177320,,,,,,,,Russian Federation,Metal
Italy,,,,,,,2,,,,,Russian Federation,Metal
Israel,,,,,,,,,,,,Russian Federation,Metal
Hungary,1400,,,,,,,,,,,Russian Federation,Metal
Hong Kong,24562,,,,,,,,,,,Russian Federation,Metal
Ghana,,,,,,,,,,28000,,Russian Federation,Metal
Finland,9,,4100,,,,,,,,,Russian Federation,Metal
Spain,388816,36000,,12800,16031,,,,,,,Russian Federation,Metal
Czech Republic,200,,,,,,,,13,,,Russian Federation,Metal
Colombia,3300,3105,1232,1232,,,1035,,,,,Russian Federation,Metal
China (People's Republic of),35574,16196,20000,,1,,,,,,,Russian Federation,Metal
Switzerland,1,,,,,2,,,11,,,Russian Federation,Metal
Brazil,,12000,1232,5232,,,,,,,,Russian Federation,Metal
Australia,,,,,,,,,,,,Russian Federation,Metal
Argentina,96000,,14400,,,,,,,,,Russian Federation,Metal
