Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,12701,48400,39560,64106,158890,152039,94021,191426,169501,197943,53100,South Africa,Oxide
Zambia,,,,571,12000,25,24,1048,5305,1,,South Africa,Oxide
South Africa,1800,,,,,,,,,,,South Africa,Oxide
Tanzania (United Rep. of),,,,,,461,182,,,9,,South Africa,Oxide
Sweden,,,1000,,,,,,,,,South Africa,Oxide
Russian Federation,,,,,,7600,,,,,,South Africa,Oxide
Qatar,,,,92776,,,,,,,,South Africa,Oxide
Poland,,,,,,,,,,4500,,South Africa,Oxide
New Zealand,2,,,,,,,,,,,South Africa,Oxide
Netherlands,,,,,,,,,30,,,South Africa,Oxide
Korea (Rep. of),,,,,,,5,,9,,,South Africa,Oxide
Iran (Islamic Rep. of),,,,,,183,,,,,,South Africa,Oxide
India,,,,,,,,,,350,,South Africa,Oxide
Israel,,,,,,,,,,,,South Africa,Oxide
Ireland,,,,28,2,,,,,,,South Africa,Oxide
Ghana,,,,,,,36,,,,,South Africa,Oxide
United Kingdom,,200,,,,,,775,,,,South Africa,Oxide
France,,2310,,30780,,,,,,,,South Africa,Oxide
Spain,,,,,,75,,,,,,South Africa,Oxide
Germany,,,,,,,,1048,,,,South Africa,Oxide
Botswana,324,997,470,140,110,11133,1255,90,1544,15134,,South Africa,Oxide
Brazil,,,,,,,80,,,,,South Africa,Oxide
