Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Germany,,1,,,,12,2000,2610,3906,3860,,Singapore,Oxide
Malaysia,63100,212800,145600,126625,156940,138543,102253,70480,50270,3600,,Singapore,Oxide
United States,,,,,760,,162,,,2365,,Singapore,Oxide
Philippines,2,,276,22,,621,75,1330,4,128,,Singapore,Oxide
India,,3,100,179,6414,1292,1,640,44,38,,Singapore,Oxide
Guatemala,,,,,,,11,8,8,31,,Singapore,Oxide
Indonesia,33,1381,3936,757,,177,505,57,19,10,,Singapore,Oxide
Turkey,,,,,,,,,,7,,Singapore,Oxide
Brazil,,,,,,,6,13,11,6,,Singapore,Oxide
Peru,,,,,,,35,22,17,5,,Singapore,Oxide
Costa Rica,,,,,,,,,2,5,,Singapore,Oxide
New Zealand,,,,,,1,,8,,4,,Singapore,Oxide
Qatar,,,,,,,,,,3,,Singapore,Oxide
Argentina,,,,,,,5,2,5,3,,Singapore,Oxide
Viet-Nam,,,,,,,0,0,,,,Singapore,Oxide
Uruguay,,,,,,,5,10,15,,,Singapore,Oxide
Taiwan,,,,,9,,6,,,,,Singapore,Oxide
Thailand,,,,,,,,,5,,,Singapore,Oxide
Russian Federation,,,,,,,,,1,,,Singapore,Oxide
Norway,,,,,,,,10,,,,Singapore,Oxide
Morocco,,,,,,,,,,,,Singapore,Oxide
Korea (Rep. of),,,,,,243,1,125,355,,,Singapore,Oxide
Japan,,,,,,,8490,,,,,Singapore,Oxide
United Kingdom,,,,,315,,5000,900,18260,,,Singapore,Oxide
Estonia,,,,,,,,,,,,Singapore,Oxide
Colombia,,,,,,,,,,,,Singapore,Oxide
China (People's Republic of),29379,1,,,10,,,,,,,Singapore,Oxide
Australia,,,,,,,20,50,,,,Singapore,Oxide
