Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Italy,,2000,,26218,25200,,2,,3000,626,,Spain,Metal
Venezuela,,,,,,16,,,,10,,Spain,Metal
United States,,,31,,,,,,,,,Spain,Metal
Sweden,,,,,,,,,,,,Spain,Metal
Romania,,,,,,,,,,,,Spain,Metal
Portugal,,,,700,100,,,,,,,Spain,Metal
Poland,300,,400,800,,,,,,,,Spain,Metal
Philippines,,,,,,46,,,,,,Spain,Metal
Netherlands,,,29200,24900,,,,,,,,Spain,Metal
Malaysia,,,,,,,,15000,,,,Spain,Metal
Morocco,,,,2,,,1,,,,,Spain,Metal
United Kingdom,,,,,,160,,,,,,Spain,Metal
France,3000,,,,,25,125,,600,,,Spain,Metal
Finland,,,,,,,,,,,,Spain,Metal
Germany,,,,,,,,,,,,Spain,Metal
China (People's Republic of),1,,,,,,,,,,,Spain,Metal
C“te d'Ivoire,,,,,,32,,,,,,Spain,Metal
Bulgaria,,,,,,,,,,,,Spain,Metal
Belgium,,,,2100,,,,,,,,Spain,Metal
