Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
China (People's Republic of),123428,131105,116197,133959,3273,2419,3805,4816,2815,12631,,Taiwan,Oxide
India,,90,,203,8795,3212,803,151,1100,10000,,Taiwan,Oxide
Germany,200,65,20555,,,2,1002,534,6422,6421,,Taiwan,Oxide
Turkey,,,,,,,36,83,290,909,,Taiwan,Oxide
United States,44718,20250,9000,,101,224,22940,24827,895,484,,Taiwan,Oxide
Japan,201222,108626,38535,16150,43753,19091,9682,1348,3640,444,,Taiwan,Oxide
Korea (Rep. of),8707,17802,6202,1006,1223,3298,2724,80,21,320,,Taiwan,Oxide
Poland,,,,,,,200,100,300,100,,Taiwan,Oxide
Malaysia,,1000,20400,40200,,10262,101,100,35,70,,Taiwan,Oxide
Romania,,,,,,,,,,18,,Taiwan,Oxide
Belarus,,,,,,,,,,13,,Taiwan,Oxide
Panama,,,,,,,,,,5,,Taiwan,Oxide
Uruguay,60,,,,,1,,4,10,1,,Taiwan,Oxide
Peru,17,22,11,,,,17,2,,1,,Taiwan,Oxide
Mexico,5,30,3,2,4,3,13,14,8,1,,Taiwan,Oxide
United Kingdom,,,,,3515,2,159,1,1,1,,Taiwan,Oxide
Spain,,,,,35000,,,,,1,,Taiwan,Oxide
Viet-Nam,,,,,,,0,,,,,Taiwan,Oxide
Ukraine,,,,,,,,,,,,Taiwan,Oxide
Thailand,43966,27072,7200,3424,200,150,5,,,,,Taiwan,Oxide
Singapore,,,,,28,,1134,,40,,,Taiwan,Oxide
Russian Federation,,,,,,,,,15,,,Taiwan,Oxide
Philippines,,,,,592,,,,,,,Taiwan,Oxide
New Zealand,,,,,,,,,,,,Taiwan,Oxide
Norway,1,,,3,,,1,,,,,Taiwan,Oxide
Netherlands,,,,,,,100,1,,,,Taiwan,Oxide
Morocco,,,,,,,,,,,,Taiwan,Oxide
Italy,,,,,,,,,50,,,Taiwan,Oxide
Iran (Islamic Rep. of),,,,,,,,101,,,,Taiwan,Oxide
Israel,,,,,,,,,,,,Taiwan,Oxide
Indonesia,,434,419,,,,,,,,,Taiwan,Oxide
Hungary,,,,,200,400,,,,,,Taiwan,Oxide
Hong Kong,50114,45353,3972,2376,1239,4837,1220,416,10293,,,Taiwan,Oxide
Guatemala,,5,107,,,,2,1,2,,,Taiwan,Oxide
Ecuador,,,,,,,,,,,,Taiwan,Oxide
Canada,49,9,,1,,,7,,,,,Taiwan,Oxide
Brazil,,,,,,1620,,8,,,,Taiwan,Oxide
Bolivia,1,1,,,,,,,1,,,Taiwan,Oxide
Belgium,,,,,,,,500,700,,,Taiwan,Oxide
Australia,135,50,30,,,,,,,,,Taiwan,Oxide
Argentina,8,9,3,,,,,,,,,Taiwan,Oxide
