Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Japan,,,,,,,,,,82,,Taiwan,Metal
Korea (Rep. of),,,,,6000,2000,200,2,3,50,,Taiwan,Metal
Netherlands,,,,,4000,900,,1137,58,23,,Taiwan,Metal
Italy,,,,,,,,25,21,19,,Taiwan,Metal
Germany,,,,1,,,,1,8,1,,Taiwan,Metal
South Africa,,,,,,24,,,,,,Taiwan,Metal
Singapore,,,,,,,,,413,,,Taiwan,Metal
Philippines,,,,,,,,17440,54,,,Taiwan,Metal
India,,,,,2,,,500,700,,,Taiwan,Metal
Hong Kong,99035,68710,5787,,,,,,,,,Taiwan,Metal
United Kingdom,,,,2,,,100,,2,,,Taiwan,Metal
China (People's Republic of),50,100,25,,6,800,25,26,,,,Taiwan,Metal
