Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Japan,,,,,3000,1000,,101295,372355,397020,162400,Thailand,Metal
Indonesia,25,467,11434,11051,9421,166153,245266,193986,170071,149306,20713,Thailand,Metal
Singapore,,,,,,3953,3,,2553,18863,20010,Thailand,Metal
United Kingdom,,,,,,,,,1000,4500,5175,Thailand,Metal
Malaysia,3950,6415,8240,26977,30415,222346,13815,10200,125444,7425,1350,Thailand,Metal
United States,36735,129517,,,14892,,,1500,1500,,167,Thailand,Metal
India,,,950,,100,,,,,43125,12,Thailand,Metal
South Africa,,,,1,,,,,,,,Thailand,Metal
Taiwan,1000,,,,,,,,,,,Thailand,Metal
Thailand,,,,,,,,,,67,,Thailand,Metal
Togo,,,,,,,,2000,,,,Thailand,Metal
Saudi Arabia,,,4000,,,,,,,,,Thailand,Metal
Qatar,28088,,,,66264,40000,10000,25000,21000,,,Thailand,Metal
Poland,,,200,,,,,,,,,Thailand,Metal
Philippines,,,,,,,1012,,,,,Thailand,Metal
Netherlands,9300,,,11100,,,,,,,,Thailand,Metal
Jordan,,,4080,,,,,,,,,Thailand,Metal
Hong Kong,,,,,,,,,,270,,Thailand,Metal
France,,,,10,,152,,,,,,Thailand,Metal
China (People's Republic of),,,,,,,,,40000,,,Thailand,Metal
Brazil,,,,,,,,,326,,,Thailand,Metal
Bolivia,,,,,,,,,,3,,Thailand,Metal
Belgium,,,,,,,,,,,,Thailand,Metal
Australia,,500,,,300,4500,,,,,,Thailand,Metal
