Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,8098,9006,7865,8484,3071,17804,2063,465,1662,2385,,United Kingdom,Metal
France,3562,1073,142,25081,2344,1064,492,1185,960,1171,,United Kingdom,Metal
Spain,5025,4275,5225,,,15,1,2,1,501,,United Kingdom,Metal
Singapore,,,,,,7,4,41,3,484,,United Kingdom,Metal
Brazil,,,,,,,,,100,200,,United Kingdom,Metal
India,130,1222,600,1777,1599,1689,778,85,297,188,,United Kingdom,Metal
Ethiopia,,,,,,,,,,97,,United Kingdom,Metal
Canada,,33,1,3,,46,96,111,52,69,,United Kingdom,Metal
Germany,11300,3055,535,5844,4986,50,17,46,45,66,,United Kingdom,Metal
Latvia,,,,,,,,,,34,,United Kingdom,Metal
Japan,6,12,11,101,125,48,26,9,8,15,,United Kingdom,Metal
Switzerland,769,1,1105,1,1752,2,11301,3941,2623,7,,United Kingdom,Metal
Norway,,,,,,,,,,4,,United Kingdom,Metal
Italy,10659,16910,2110,21,773,15,15708,76248,65209,3,,United Kingdom,Metal
Ghana,,,,,,7,,,,3,,United Kingdom,Metal
Australia,1,,80,,,,,506,,3,,United Kingdom,Metal
Netherlands,,,,,,,,,,2,,United Kingdom,Metal
Hong Kong,,,,,,,2,3,,2,,United Kingdom,Metal
Russian Federation,,,1,,,1,1,,,1,,United Kingdom,Metal
Korea (Rep. of),700,101,8,7,3,7,71,35,5,1,,United Kingdom,Metal
South Africa,,,1,,1637,,,232,,,,United Kingdom,Metal
Serbia,,,,,1,,,,,,,United Kingdom,Metal
Tanzania (United Rep. of),,,,,5,,,,,,,United Kingdom,Metal
Taiwan,,2,60,20,56,2,4,4,1,,,United Kingdom,Metal
Turkey,,1001,2002,,,,,,1,,,United Kingdom,Metal
Thailand,,,,1000,,,,,,,,United Kingdom,Metal
Slovakia,,,,,,,,,1,,,United Kingdom,Metal
Slovenia,,,,,,,,1,,,,United Kingdom,Metal
Sweden,,,,100,200,200,,1,,,,United Kingdom,Metal
Romania,,,,,,,,4,,,,United Kingdom,Metal
Portugal,,,,,,,,,,,,United Kingdom,Metal
Poland,,,,400,,,300,,,,,United Kingdom,Metal
Philippines,,2408,,,,,,,,,,United Kingdom,Metal
Peru,,,,,,,,,,,,United Kingdom,Metal
New Zealand,,,,,,,,,,,,United Kingdom,Metal
Mexico,46,,,20,,,,,,,,United Kingdom,Metal
Malta,,,12000,,,,,,,,,United Kingdom,Metal
Morocco,,,,,,,,,,,,United Kingdom,Metal
Lithuania,,,,,,,,,1,,,United Kingdom,Metal
Israel,,,,,,,,,,,,United Kingdom,Metal
Ireland,,,,,,61,,,,,,United Kingdom,Metal
Hungary,,,,,,,,,,,,United Kingdom,Metal
Greece,,,,,,,,,,,,United Kingdom,Metal
Finland,1,750,1,,1,3,,,,,,United Kingdom,Metal
Estonia,,,,,,,,,,,,United Kingdom,Metal
Denmark,500,,,,,,,,6,,,United Kingdom,Metal
Czech Republic,,,,,,,,2,16,,,United Kingdom,Metal
Cyprus,,,100,,,,,,,,,United Kingdom,Metal
China (People's Republic of),,,1,,,,,,,,,United Kingdom,Metal
Chile,,,,,,,,,,,,United Kingdom,Metal
Bolivia,,2,,,,,,,,,,United Kingdom,Metal
Belgium,,100,,,15500,100,,,,,,United Kingdom,Metal
Argentina,,,2,,,,,,,,,United Kingdom,Metal
