Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Japan,,,334360,544739,987750,1437212,1945543,2604495,2442191,2896710,1471575,Viet-Nam,Metal
Russian Federation,,,,,2000,,,,,,1064,Viet-Nam,Metal
Spain,,,,,,,,,,,500,Viet-Nam,Metal
United States,,,,219,,5000,16000,,,,,Viet-Nam,Metal
Thailand,,,,,,,,,2000,,,Viet-Nam,Metal
Singapore,,,,,,,,,,1000,,Viet-Nam,Metal
Netherlands,15000,5000,,,2800,10000,6000,20000,,,,Viet-Nam,Metal
Korea (Rep. of),,,,,,,,,,,,Viet-Nam,Metal
Hong Kong,,,,,,,,20300,34102,,,Viet-Nam,Metal
United Kingdom,,,,,,,,9077,,,,Viet-Nam,Metal
China (People's Republic of),,,,,,,100,,,,,Viet-Nam,Metal
Belgium,,,,19800,,6000,,,,,,Viet-Nam,Metal
